
divisionBlue = "",
leagueCoRec ="",

teamName = "Asshats";

teamName = "Benny's Lithia Ford";

1,8/25/2017,8:35 PM,MC 2,Red Co-Rec Division,Peak Health & Wellness,Benny's Lithia Ford,
1,9/8/2017,8:35 PM,MC 2,Red Co-Rec Division,Despo/Pepsi,Benny's Lithia Ford,
0,9/15/2017,6:15 PM,MC 2,Red Co-Rec Division,Benny's Lithia Ford,Peak Health & Wellness,
1,9/22/2017,8:35 PM,MC 2,Red Co-Rec Division,Are You Serious,Benny's Lithia Ford,
0,9/29/2017,9:45 PM,MC 2,Red Co-Rec Division,Benny's Lithia Ford,Despo/Pepsi,
0,10/6/2017,7:25 PM,MC 2,Red Co-Rec Division,Benny's Lithia Ford,Are You Serious,
teamName = "Despo/Pepsi";

0,8/25/2017,7:25 PM,MC 2,Red Co-Rec Division,Despo/Pepsi,Are You Serious,
0,9/8/2017,8:35 PM,MC 2,Red Co-Rec Division,Despo/Pepsi,Benny's Lithia Ford,
1,9/15/2017,7:25 PM,MC 2,Red Co-Rec Division,Are You Serious,Despo/Pepsi,
0,9/22/2017,7:25 PM,MC 2,Red Co-Rec Division,Despo/Pepsi,Peak Health & Wellness,
1,9/29/2017,9:45 PM,MC 2,Red Co-Rec Division,Benny's Lithia Ford,Despo/Pepsi,
1,10/6/2017,8:35 PM,MC 2,Red Co-Rec Division,Peak Health & Wellness,Despo/Pepsi,
teamName = "Peak Health & Wellness";

0,8/25/2017,8:35 PM,MC 2,Red Co-Rec Division,Peak Health & Wellness,Benny's Lithia Ford,
1,9/8/2017,9:45 PM,MC 2,Red Co-Rec Division,Are You Serious,Peak Health & Wellness,
1,9/15/2017,6:15 PM,MC 2,Red Co-Rec Division,Benny's Lithia Ford,Peak Health & Wellness,
1,9/22/2017,7:25 PM,MC 2,Red Co-Rec Division,Despo/Pepsi,Peak Health & Wellness,
0,9/29/2017,8:35 PM,MC 2,Red Co-Rec Division,Peak Health & Wellness,Are You Serious,
0,10/6/2017,8:35 PM,MC 2,Red Co-Rec Division,Peak Health & Wellness,Despo/Pepsi,
divisionWhite = "",
leagueCoRec ="",
teamName = "99 Problems";

1,8/25/2017,7:25 PM,Northside,White Co-Rec Division,Msla Heating & Cooling,99 Problems,
1,9/8/2017,6:15 PM,MC 2,White Co-Rec Division,Dirty Sunrise,99 Problems,
0,9/15/2017,9:45 PM,MC 1,White Co-Rec Division,99 Problems,Jackson,
0,9/22/2017,6:15 PM,MC 2,White Co-Rec Division,99 Problems,Sucker Punch,
0,9/29/2017,7:25 PM,Northside,White Co-Rec Division,99 Problems,Pitches Me Crazy,
0,10/6/2017,9:45 PM,MC 1,White Co-Rec Division,99 Problems,R.A.W.,
teamName = "Dirty Sunrise";

1,8/25/2017,6:15 PM,Northside,White Co-Rec Division,R.A.W.,Dirty Sunrise,
0,9/8/2017,6:15 PM,MC 2,White Co-Rec Division,Dirty Sunrise,99 Problems,
1,9/15/2017,8:35 PM,MC 1,White Co-Rec Division,Msla Heating & Cooling,Dirty Sunrise,
1,9/22/2017,9:45 PM,MC 1,White Co-Rec Division,Sandlot Warriors,Dirty Sunrise,
0,9/29/2017,7:25 PM,MC 1,White Co-Rec Division,Dirty Sunrise,Jackson,
0,10/6/2017,6:15 PM,MC 1,White Co-Rec Division,Dirty Sunrise,Pitches Me Crazy,
teamName = "Jackson";

1,8/25/2017,9:45 PM,Northside,White Co-Rec Division,Pitches Me Crazy,Jackson,
0,9/8/2017,7:25 PM,MC 2,White Co-Rec Division,Jackson,Team Ohana,
1,9/15/2017,9:45 PM,MC 1,White Co-Rec Division,99 Problems,Jackson,
1,9/22/2017,8:35 PM,Northside,White Co-Rec Division,R.A.W.,Jackson,
1,9/29/2017,7:25 PM,MC 1,White Co-Rec Division,Dirty Sunrise,Jackson,
0,10/6/2017,6:15 PM,MC 2,White Co-Rec Division,Jackson,Msla Heating & Cooling,
teamName = "Msla Heating & Cooling";

0,8/25/2017,7:25 PM,Northside,White Co-Rec Division,Msla Heating & Cooling,99 Problems,
